"Data generated on Thursday, February 21, 2019 at 12:43:58 AM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","World Total","46","Other Consumer Oriented","304,709","287,420","312,338","337,528","355,945","384,512","430,308","455,751","429,079","441,044","457,533","468,670","485,511","506,071","518,628","537,525","552,800","US","R00","0240AT",
"1","World Total","47","Biodiesel & Blends > B30","0","0","0","0","0","0","0","0","0","0","252,946","522,958","665,397","303,558","263,022","255,402","397,492","US","R00","0285AT",
"1","World Total","48","Oilseeds (ex. soybean)","219,806","246,528","239,501","246,022","225,596","274,440","350,785","393,109","339,316","390,909","347,942","352,393","346,287","353,537","290,649","297,320","301,481","US","R00","0040AT",
"2","China","1","Soybeans","1,012,486","995,837","2,888,772","2,328,762","2,248,983","2,531,853","4,117,405","7,259,676","9,193,671","10,863,827","10,507,644","14,877,641","13,299,868","14,476,293","10,488,691","14,202,911","12,252,668","US","CH","0035AT",
"2","China","2","Forest Products","137,199","221,719","252,655","378,713","472,240","547,178","575,247","520,660","545,562","1,162,738","1,915,500","1,640,267","2,344,384","2,660,764","2,066,237","2,543,028","3,193,801","US","CH","0290AT",
"2","China","3","Fish Products","118,883","135,219","176,242","257,719","350,831","440,082","532,692","553,281","592,757","738,419","1,140,440","1,124,404","1,114,751","1,181,268","1,036,858","962,419","1,232,218","US","CH","0295AT",
"2","China","4","Cotton","46,486","140,923","763,641","1,416,867","1,403,098","2,066,597","1,461,216","1,620,573","861,818","2,213,328","2,623,395","3,428,719","2,200,340","1,111,467","859,134","553,778","978,180","US","CH","0045AT",
"2","China","5","Hides & Skins","396,049","393,433","456,021","523,796","627,758","790,332","829,657","873,239","668,102","971,299","1,196,989","1,349,292","1,655,422","1,497,103","1,267,934","947,918","944,607","US","CH","0100AT",
"2","China","6","Coarse Grains (ex. corn)","0","7","3","0","10","0","83","2,043","0","0","0","10","95,049","1,466,316","2,114,769","1,029,542","838,942","US","CH","0025AT",
"2","China","7","Pork & Pork Products","33,002","26,199","31,092","66,585","88,212","84,903","189,461","334,114","81,002","228,336","714,110","704,136","703,175","474,186","426,921","713,348","662,385","US","CH","0150AT",
"2","China","8","Dairy Products","40,296","32,135","38,856","59,183","61,624","116,272","153,552","179,472","137,467","237,188","362,158","414,976","706,206","695,197","451,164","386,192","576,969","US","CH","0170AT",
"2","China","9","Other Intermediate Products","100,895","131,932","199,486","148,418","142,599","187,338","212,107","204,199","238,841","362,706","331,446","376,566","417,795","447,520","477,558","425,043","424,424","US","CH","0130AT",
"2","China","10","Wheat","21,420","25,941","35,258","495,056","78,695","22,546","6,098","142","86,893","40,536","160,194","213,541","1,283,020","194,153","160,461","205,395","351,092","US","CH","0015AT",
"2","China","11","Hay","299","99","98","35","41","82","471","4,394","21,244","52,957","78,020","141,191","234,369","255,484","330,757","354,961","340,541","US","CH","0105AT",
"2","China","12","Feeds & Fodders NESOI","15,859","15,442","25,148","12,588","26,694","26,713","51,605","65,756","111,666","179,066","216,104","222,075","303,298","365,687","377,225","378,556","266,898","US","CH","0115AT",
"2","China","13","Tree Nuts","10,393","19,455","15,525","20,973","48,645","50,268","53,980","86,844","143,116","144,736","202,803","391,794","358,799","191,676","208,231","182,365","242,911","US","CH","0195AT",
"2","China","14","Fresh Fruit","29,059","24,280","33,335","42,666","79,044","69,252","38,793","45,502","55,376","80,041","103,158","111,465","115,356","102,211","136,683","185,632","225,723","US","CH","0175AT",
"2","China","15","Tobacco","1,288","471","4,448","22,832","1,905","61,480","65,955","108,284","121,482","151,957","117,110","118,896","175,992","215,585","196,597","171,968","162,297","US","CH","0055AT",
"2","China","16","Corn","0","1,857","43","99","201","6,206","8,884","815","48,055","278,123","842,770","1,309,720","974,262","83,663","162,678","39,945","142,036","US","CH","0020AT",
"2","China","17","Prepared Food","38,543","24,195","104,671","149,792","45,779","48,852","51,351","61,818","73,529","60,529","74,210","82,062","120,133","115,054","90,709","126,104","138,787","US","CH","0220AT",
"2","China","18","Processed Fruit","2,221","5,389","14,389","19,529","25,961","37,313","42,339","49,363","70,905","81,716","97,969","87,024","60,598","69,399","95,416","99,938","134,192","US","CH","0180AT",
"2","China","19","Planting Seeds","14,663","17,979","23,695","25,524","28,236","32,126","32,289","38,981","48,778","93,077","95,886","97,820","102,446","104,134","119,287","87,718","131,157","US","CH","0120AT",
"2","China","20","Processed Vegetables","29,929","31,919","39,118","47,757","36,022","47,478","56,684","61,700","56,048","79,286","107,327","135,738","141,769","132,844","137,270","151,926","117,048","US","CH","0185AT",
"2","China","21","Wine & Beer","2,697","3,260","2,828","5,604","6,140","9,491","14,769","20,065","25,011","34,984","65,386","75,954","84,654","79,874","62,598","91,263","86,163","US","CH","0225AT",
"2","China","22","Ethanol (non-bev.)","507","1,142","31","228","366","225","50","51","152","502","517","130","11,074","8,319","135,212","313,422","73,539","US","CH","0280AT",
"2","China","23","Distillers Grains","0","0","11","5","0","0","112","1,992","100,849","503,815","337,458","615,860","1,382,260","1,247,472","1,631,833","470,307","62,216","US","CH","0110AT",
"2","China","24","Other Bulk Commodities","2,503","4,699","20,159","1,367","2,194","2,928","3,646","7,353","4,356","11,861","8,718","6,378","11,243","20,489","24,407","150,670","56,496","US","CH","0060AT",
"2","China","25","Vegetable Oils (ex. soybean)","7,471","16,131","31,975","23,103","15,233","18,838","24,381","35,726","39,817","53,850","71,078","94,761","53,512","49,509","48,372","47,083","42,056","US","CH","0085AT",
"2","China","26","Poultry Meat & Prods. (ex. eggs)","38,738","48,673","101,754","16,701","137,536","312,590","583,307","721,895","679,165","174,198","174,617","356,137","426,892","315,425","49,372","33,468","35,696","US","CH","0155AT",
"2","China","27","Snack Foods NESOI","13,605","8,460","7,710","16,644","18,399","13,585","10,945","13,587","14,505","21,507","25,962","33,181","35,586","47,823","50,593","37,303","34,403","US","CH","0205AT",
"2","China","28","Non-Alcoholic Bev. (ex. juices)","4,733","4,325","2,378","14,324","19,773","27,795","32,009","40,419","20,599","32,090","33,241","40,983","53,349","37,083","33,718","34,630","34,012","US","CH","0230AT",
"2","China","29","Beef & Beef Products","23,757","30,089","28,196","3,201","2,380","307","709","1,035","801","1,267","51","1,148","83","271","3","4","30,929","US","CH","0145AT",
"2","China","30","Breakfast Cereals","270","409","740","1,121","1,124","830","453","830","1,358","3,120","4,657","14,026","10,315","11,103","28,896","31,502","30,275","US","CH","0210AT",
"2","China","31","Chocolate & Cocoa Products","5,676","8,481","12,224","7,958","10,599","11,843","14,301","11,365","23,284","27,624","43,488","48,604","49,362","37,820","34,848","30,981","27,388","US","CH","0200AT",
"2","China","32","Pulses","214","231","533","290","846","3,977","2,862","1,881","4,142","19,116","4,980","12,722","29,659","29,436","23,811","26,013","25,248","US","CH","0050AT",
"2","China","33","Soybean Oil","1,750","7","48,252","216","403","44,755","139,243","133,119","34,507","395,006","128,717","264,741","134,832","131,610","13,273","103,713","24,461","US","CH","0080AT",
"2","China","34","Fruit & Vegetable Juices","2,451","5,347","4,232","3,191","4,145","4,548","6,524","10,859","16,676","15,577","17,356","32,071","47,151","48,219","27,264","11,826","14,150","US","CH","0190AT",
"2","China","35","Distilled Spirits","960","1,347","1,959","2,678","3,184","6,690","7,055","8,687","7,950","7,328","6,088","8,425","11,533","14,388","15,168","10,531","12,402","US","CH","0275AT",
"2","China","36","Meat Products NESOI","7,047","5,203","9,082","12,846","24,551","28,223","45,860","20,879","51,907","75,348","59,620","96,857","110,441","66,526","44,955","25,958","11,690","US","CH","0160AT",
"2","China","37","Sugar, Sweeteners, Bev. Bases","7,904","7,223","18,086","24,886","12,497","16,006","13,237","19,299","3,717","7,092","12,385","16,324","21,464","19,927","19,463","12,477","11,256","US","CH","0125AT",
"2","China","38","Condiments & Sauces","2,463","2,473","3,004","2,957","2,687","3,016","5,264","4,583","4,951","6,769","8,311","7,182","9,206","7,604","9,948","9,769","11,206","US","CH","0215AT",
"2","China","39","Live Animals","7,225","11,683","15,917","1,669","15,629","15,092","16,902","37,702","31,563","32,127","44,477","60,011","64,147","41,811","1,380","594","10,353","US","CH","0095AT",
"2","China","40","Soybean Meal","248","0","62","83","32","61","5,031","316","1,032","738","886","2,344","4,475","10,708","6,072","10,036","6,702","US","CH","0075AT",
